brandName,descriptionText,itemCondition,modelYear,manufacturer,fuelType,imageUrl,transmission,engineDisplacement,mileage,price,detailsUrl,adId
Honda,Honda City 2021 for sale in Karachi,used,2021,Honda,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/honda-city-1-2l-cvt-2021-59861500.jpg,Automatic,1200,20,3100000,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-karachi-5705393,5705393
Honda,Honda City 2000 for sale in Hyderabad,used,2000,Honda,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/honda-city-exi-2-2000-59861451.jpg,Manual,1300,156500,600000,https://www.pakwheels.com/used-cars/honda-city-2000-for-sale-in-hyderabad-5705391,5705391
Toyota,Toyota Surf 1997 for sale in Bahawalpur,used,1997,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5847/toyota-surf-ssr-g-3-4-1997-58475663.jpg,Automatic,3400,108000,2880000,https://www.pakwheels.com/used-cars/toyota-surf-1997-for-sale-in-bahawalpur-5541049,5541049
Toyota,Toyota Corolla 2017 for sale in Lahore,used,2017,Toyota,Petrol,https://cache3.pakwheels.com/ad_pictures/5980/toyota-corolla-gli-vvti-2017-59802464.jpg,Manual,1300,76292,3000000,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-5698234,5698234
Suzuki,Suzuki Wagon R 2020 for sale in Multan,used,2020,Suzuki,Petrol,https://cache2.pakwheels.com/ad_pictures/5985/suzuki-wagon-r-vxl-2020-59856066.jpg,Manual,1000,14950,1830000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2020-for-sale-in-multan-5704991,5704991
Mercedes Benz,Mercedes Benz C Class 2008 for sale in Rawalpindi,used,2008,Mercedes Benz,Petrol,https://cache1.pakwheels.com/ad_pictures/5985/mercedes-benz-c-class-c200-2008-59855898.jpg,Automatic,1800,92000,3300000,https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2008-for-sale-in-rawalpindi-5704986,5704986
Toyota,Toyota Vitz 2019 for sale in Islamabad,used,2019,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5917/toyota-vitz-1-0-b-2019-59174694.jpg,Automatic,1000,69000,2475000,https://www.pakwheels.com/used-cars/toyota-vitz-2019-for-sale-in-islamabad-5654639,5654639
Toyota,Toyota Hilux 2015 for sale in Lahore,used,2015,Toyota,Diesel,https://cache4.pakwheels.com/ad_pictures/5953/toyota-hilux-vigo-champ-gx-2015-59533742.jpg,Automatic,2500,136469,5500000,https://www.pakwheels.com/used-cars/toyota-hilux-2015-for-sale-in-lahore-5676124,5676124
Toyota,Toyota Raize 2019 for sale in Lahore,used,2019,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5985/toyota-raize-2019-59855726.jpg,Automatic,1000,17500,4250000,https://www.pakwheels.com/used-cars/toyota-raize-2019-for-sale-in-lahore-5704979,5704979
Toyota,Toyota Corolla 2021 for sale in Islamabad,used,2021,Toyota,Petrol,https://cache3.pakwheels.com/ad_pictures/5985/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2021-v-1-59850309.jpg,Automatic,1800,3900,4325000,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-5704585,5704585
Honda,Honda Civic 2001 for sale in Lahore,used,2001,Honda,Petrol,https://cache2.pakwheels.com/ad_pictures/5983/honda-civic-vti-oriel-2-2001-59833452.jpg,Manual,1600,100000,1100000,https://www.pakwheels.com/used-cars/honda-civic-2001-for-sale-in-lahore-5703382,5703382
DFSK,DFSK Glory 580 2021 for sale in Islamabad,used,2021,DFSK,Petrol,https://cache3.pakwheels.com/ad_pictures/5985/dfsk-glory-580-pro-2021-59852031.jpg,Automatic,1500,6000,4730000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-islamabad-5703918,5703918
